
wsk001
 File	         0 bytes	All Users
 Dir	         0 bytes	tania.dosuruth
 Dir	         0 bytes	teresa.protheroe
 Dir	         0 bytes	tracey.alebon-dray
 Dir	         0 bytes	tracey.hayden
 Dir	         0 bytes	wendy.knox
 Dir	         0 bytes	yvette.ribbons

wsk068
 Dir	         0 bytes	Adedoyin.Meleki
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	adedotun.sanni
 Dir	         0 bytes	ademola.oyenubi.adm
 Dir	         0 bytes	anthony.afutu
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	heather.gleave
 Dir	         0 bytes	imafidon.okoro
 Dir	         0 bytes	imogen.hayes
 Dir	         0 bytes	jeanette.smith
 Dir	         0 bytes	kelly.bonner
 Dir	         0 bytes	lucy.stebbing
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	maxine.ogunrombi
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	r.johnson
 Dir	         0 bytes	rebecca.walton
 Dir	         0 bytes	robert.osborne
 Dir	         0 bytes	rscutt.adm
 Dir	         0 bytes	ruth.magowan
 Dir	         0 bytes	sarah.hunt
 Dir	         0 bytes	victoria.oyayemi

wsk565
 File	         0 bytes	All Users
 Dir	         0 bytes	Carlo.pastorino
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Katie.Merriman
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Stephan.hildige.adm
 Dir	         0 bytes	coralie.glover
 Dir	         0 bytes	david.babatunde
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	dhalvir.midda
 Dir	         0 bytes	james.harden
 Dir	         0 bytes	laura.edwards
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	nikki.patel1
 Dir	         0 bytes	obi.uzochukwu
 Dir	         0 bytes	patrick.brookson
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	terry.varhalamas.adm

wsk030
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	Stephan.hildige
 Dir	         0 bytes	Stephan.hildige.adm
 Dir	         0 bytes	cgrainger
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	mike.valentine.adm

wsk053
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	caroline.gray
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	marek.kulik.adm

wsk054
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Sarah.Sampher
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	Tracey.Goodwin
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	lauren.stapley
 Dir	         0 bytes	leanne.ellis
 Dir	         0 bytes	stephan.hildige.adm
 Dir	         0 bytes	tatiana.andrews

wsk039
 Dir	         0 bytes	Administrator
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	WSK039$
 Dir	         0 bytes	andrew.sheppard
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.MININT-H25RJLC
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	lmartin
 Dir	         0 bytes	michelle.bernasconi
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	wmilsom
 Dir	         0 bytes	wmilsom.adm

wsk538
 Dir	         0 bytes	Administrator
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	LDENTON
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	graeme.johnston
 Dir	         0 bytes	graeme.johnston.adm
 Dir	         0 bytes	hayley.rees
 Dir	         0 bytes	laura.edwards
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	ncouzens
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	oluwadamilola.salako
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	terry.varhalamas.adm

wsk051
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	Stephan.hildige.adm
 Dir	         0 bytes	albert.edwards
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.WSK051
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	lavarniya.rajakumar
 Dir	         0 bytes	rscutt.adm

wsk536
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Stephan.hildige.adm
 Dir	         0 bytes	alicya.synowiec
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.RWF18268
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	shaun.dunmall.adm

wsk243
 File	         0 bytes	All Users
 Dir	         0 bytes	Danielle.McCann
 Dir	         0 bytes	Danielle.McCann.MTW
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Michelle.Page
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	a.edorh
 Dir	         0 bytes	claire.pegg
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	emily.phiri
 Dir	         0 bytes	laura.adams
 Dir	         0 bytes	skandamangalam.adm

wsk052
 Dir	         0 bytes	Administrator
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Matthew.Fenton1
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	andrew.brown
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.WSK052
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	joao.galante
 Dir	         0 bytes	lewis.taylor
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	stephan.hildige.adm
 Dir	         0 bytes	sugeeta.sukumar

wsk060
 Dir	         0 bytes	Administrator
 File	         0 bytes	All Users
 Dir	         0 bytes	Asha.Magar
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Ijeoma.Nwangwu
 Dir	         0 bytes	Public
 Dir	         0 bytes	Rebecca.rutherford
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	Tracey.brookes
 Dir	         0 bytes	aidan.shaw
 Dir	         0 bytes	bhavin.kawa
 Dir	         0 bytes	charlotte.grainger
 Dir	         0 bytes	clacey
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	dmerrett
 Dir	         0 bytes	donna.hunter
 Dir	         0 bytes	gemma.davis
 Dir	         0 bytes	jade.smith
 Dir	         0 bytes	jay.patel
 Dir	         0 bytes	jennifer.izunwanne
 Dir	         0 bytes	kate.hulley
 Dir	         0 bytes	kate.williams
 Dir	         0 bytes	kerrie.hallows
 Dir	         0 bytes	kerry.smith
 Dir	         0 bytes	louise.clyne
 Dir	         0 bytes	louise.wilcocks
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	megan.barron
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	sarah.kemp
 Dir	         0 bytes	sharon.morrison
 Dir	         0 bytes	sonia.bridger
 Dir	         0 bytes	stephan.hildige
 Dir	         0 bytes	stephan.hildige.adm
 Dir	         0 bytes	thomas.foreman

wsk066
 Dir	         0 bytes	Adedotun.sanni
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Izabela.boniecki
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Marek.Kulik.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Stephan.hildige.adm
 Dir	         0 bytes	Stephan.hildige.adm.ADMTW-TR
 Dir	         0 bytes	ademola.oyenubi.adm
 Dir	         0 bytes	aleksandra.zak
 Dir	         0 bytes	alex.collins
 Dir	         0 bytes	charker
 Dir	         0 bytes	daniel.kennedy
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	hannah.milford
 Dir	         0 bytes	hannah.milford.ADMTW-TR
 Dir	         0 bytes	heather.gleave
 Dir	         0 bytes	imogen.hayes
 Dir	         0 bytes	jasper.dimairho
 Dir	         0 bytes	jeanette.smith
 Dir	         0 bytes	kelly.bonner
 Dir	         0 bytes	lewis.taylor
 Dir	         0 bytes	lewis.taylor.ADMTW-TR
 Dir	         0 bytes	lwickwar
 Dir	         0 bytes	lwickwar.ADMTW-TR
 Dir	         0 bytes	melissa.cooke
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	r.johnson
 Dir	         0 bytes	radhika.vashisht
 Dir	         0 bytes	rebecca.samson
 Dir	         0 bytes	robert.osborne
 Dir	         0 bytes	ruth.magowan
 Dir	         0 bytes	ruth.magowan.ADMTW-TR
 Dir	         0 bytes	sarah.hunt
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	t.nguyen
 Dir	         0 bytes	tilly.senior
 Dir	         0 bytes	wendy.kichenside

wsk076
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	Rhea.gillis
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	Tracey.Goodwin
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	leanne.ellis
 Dir	         0 bytes	stephan.hildige.adm
 Dir	         0 bytes	tatiana.andrews

wsk081
 File	         0 bytes	All Users
 Dir	         0 bytes	Deborah.Willcox
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Desislava.Daneva
 Dir	         0 bytes	I.Sookun
 Dir	         0 bytes	Nrobinson
 Dir	         0 bytes	Public
 Dir	         0 bytes	RJAKES
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	ademola.oyenubi.adm
 Dir	         0 bytes	ailish.flanagan
 Dir	         0 bytes	aisha.ahmadu
 Dir	         0 bytes	aizzah.mahmood
 Dir	         0 bytes	arunodaya.mohan
 Dir	         0 bytes	caitlin.bellsham
 Dir	         0 bytes	catrin.cox
 Dir	         0 bytes	charlotte.cudmore
 Dir	         0 bytes	chitra.srinivasan
 Dir	         0 bytes	claire.williams1
 Dir	         0 bytes	clare.wykes01
 Dir	         0 bytes	ctucker
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	dunnya.de-silva
 Dir	         0 bytes	elvis.aduwa
 Dir	         0 bytes	fathi.al-jehani
 Dir	         0 bytes	hannah.duffy
 Dir	         0 bytes	kelly.akhigbe
 Dir	         0 bytes	l.amponsah
 Dir	         0 bytes	lalita.banerjee
 Dir	         0 bytes	lani.jabile
 Dir	         0 bytes	laura.goode
 Dir	         0 bytes	leonie.waller
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	nicola.read
 Dir	         0 bytes	nicola.stacey1
 Dir	         0 bytes	nicole.barton
 Dir	         0 bytes	paul.nwachukwu
 Dir	         0 bytes	rscutt.adm
 Dir	         0 bytes	sara.winter
 Dir	         0 bytes	seme.ogude
 Dir	         0 bytes	shannon.brazier
 Dir	         0 bytes	sharon.plumridge
 Dir	         0 bytes	sophie.lazell
 Dir	         0 bytes	stacy.wilson
 Dir	         0 bytes	stephan.hildige.adm
 Dir	         0 bytes	taran.nandra
 Dir	         0 bytes	tracy.symonds
 Dir	         0 bytes	trevor.clarke
 Dir	         0 bytes	victoria.lashmar
 Dir	         0 bytes	william.old
 Dir	         0 bytes	yhomewood
 Dir	         0 bytes	zachary.beevers
 Dir	         0 bytes	zeeshan.javaid

wsk085
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	elle.bushell
 Dir	         0 bytes	heather.gleave
 Dir	         0 bytes	izabela.boniecki
 Dir	         0 bytes	jasper.dimairho
 Dir	         0 bytes	leigh.morgan
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	melissa.cooke
 Dir	         0 bytes	r.johnson
 Dir	         0 bytes	radhika.vashisht
 Dir	         0 bytes	rebecca.samson
 Dir	         0 bytes	rebecca.walton
 Dir	         0 bytes	sara.hunt
 Dir	         0 bytes	yemi.aderemi

wsk047
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Stephan.hildige.adm.MTW
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	holly.shorten
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	stephan.hildige.adm

wsk072
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	ademola.oyenubi.adm
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.RWF19291
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	geraldo.alvesdepaula
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	muditha.perera
 Dir	         0 bytes	zeeshan.javaid

wsk564
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	shaun.dunmall
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	shaun.dunmall.adm.ADMTW-TR

wsk092
 File	         0 bytes	All Users
 Dir	         0 bytes	Amy.Radcliffe
 Dir	         0 bytes	Beverley.Pryke
 Dir	         0 bytes	Carole.Robinson
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Frances.Bevans
 Dir	         0 bytes	Gemma.Fry
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Lorraine.Miller
 Dir	         0 bytes	Public
 Dir	         0 bytes	Rosy.Coates
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	clare.wilkins
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	drutter
 Dir	         0 bytes	emma.moran
 Dir	         0 bytes	h.lush
 Dir	         0 bytes	mary.honey
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neve.mann
 Dir	         0 bytes	rpurse
 Dir	         0 bytes	s.willis
 Dir	         0 bytes	sanghajit.wilmott
 Dir	         0 bytes	sbadco
 Dir	         0 bytes	steve.croft
 Dir	         0 bytes	trystan.nield.adm

wsk031
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.RWF18454
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	fleckney
 Dir	         0 bytes	kbaker
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	pcitest01
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	stephan.hildige.adm

wsk045
 File	         0 bytes	All Users
 Dir	         0 bytes	DJenner
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Lisa.Baker
 Dir	         0 bytes	Public
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.RWF19319
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	h.lush
 Dir	         0 bytes	jeanette.smith
 Dir	         0 bytes	kim.martin
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	sTEPHAN.HILDIGE
 Dir	         0 bytes	shaun.dunmall.adm

wsk562
 Dir	         0 bytes	Administrator
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	aizzah.mahmood
 Dir	         0 bytes	arsala.siddiqui
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.WSK562
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	j.grigorova
 Dir	         0 bytes	kanwal-zia.Robinson
 Dir	         0 bytes	rgale
 Dir	         0 bytes	stephan.hildige.adm
 Dir	         0 bytes	stephan.hildige.adm.MTW
 Dir	         0 bytes	victoria.stables
 Dir	         0 bytes	zeeshan.javaid

wsk671
 Dir	         0 bytes	Administrator
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Stephan.hildige.adm
 Dir	         0 bytes	carlo.pastorino
 Dir	         0 bytes	colleen.barker
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	elizabeth.anderton
 Dir	         0 bytes	elsa.shijo
 Dir	         0 bytes	emma.homes
 Dir	         0 bytes	giovanna.king
 Dir	         0 bytes	graeme.johnston
 Dir	         0 bytes	greader
 Dir	         0 bytes	jerry.herring
 Dir	         0 bytes	jmartin
 Dir	         0 bytes	karen.tyler
 Dir	         0 bytes	kevin.curtis
 Dir	         0 bytes	laura.edwards
 Dir	         0 bytes	manpreet.kaur
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	nikki.patel1
 Dir	         0 bytes	olivia.dane
 Dir	         0 bytes	olufemi.ogunjobi.adm
 Dir	         0 bytes	rayanne.marshall
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	tgrimsey
 Dir	         0 bytes	tia.kendall

wsk405
 Dir	         0 bytes	Administrator
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	I.Sookun
 Dir	         0 bytes	Maya.Lewis
 Dir	         0 bytes	Myunever.Tasimova
 Dir	         0 bytes	NWilliamson
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Sebolatan.Owolabi
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	Stephan.hildige.adm
 Dir	         0 bytes	a.mierzejewska
 Dir	         0 bytes	amy.northfield
 Dir	         0 bytes	amy.tucker
 Dir	         0 bytes	ana.corbaton
 Dir	         0 bytes	annabelle.howell
 Dir	         0 bytes	artwell.cheneka
 Dir	         0 bytes	bella.olubunmi
 Dir	         0 bytes	bwillis
 Dir	         0 bytes	comfort.adeyemi
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.RWF18442
 Dir	         0 bytes	demi.nicholls
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	elizabeth.hunt
 Dir	         0 bytes	emma.haigh
 Dir	         0 bytes	gaynor.reeve
 Dir	         0 bytes	gemma.levett
 Dir	         0 bytes	georgina.white
 Dir	         0 bytes	hannah.duffy
 Dir	         0 bytes	holly.shorten
 Dir	         0 bytes	katharine.clark
 Dir	         0 bytes	katie.somers
 Dir	         0 bytes	kmcdonald
 Dir	         0 bytes	lani.jabile
 Dir	         0 bytes	lauren.paciej
 Dir	         0 bytes	lizzie.turner
 Dir	         0 bytes	michelle.bell
 Dir	         0 bytes	mike.valentine.adm
 Dir	         0 bytes	neil.gillespie.adm
 Dir	         0 bytes	nicola.holiday
 Dir	         0 bytes	peta-may.hylton
 Dir	         0 bytes	rosalind.philpott
 Dir	         0 bytes	stacy.wilson
 Dir	         0 bytes	styliani.psaroudaki

wsk496
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Eugenija.vaiciunaite
 Dir	         0 bytes	Julie.Fearon
 Dir	         0 bytes	Marek.Kulik.adm
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	mike.valentine.adm

wsk022
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Gemma.Fry
 Dir	         0 bytes	Lisa.Baker
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	andrew.brown
 Dir	         0 bytes	cryan
 Dir	         0 bytes	defaultuser0
 Dir	         0 bytes	defaultuser0.RWF18134
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	e.richardson-smith
 Dir	         0 bytes	emma.moran
 Dir	         0 bytes	erika.wade
 Dir	         0 bytes	hannah.goren
 Dir	         0 bytes	julie.molloy
 Dir	         0 bytes	lauren.watts
 Dir	         0 bytes	natalie.smith7
 Dir	         0 bytes	rpurse
 Dir	         0 bytes	sanghajit.wilmott
 Dir	         0 bytes	sbadco
 Dir	         0 bytes	shaun.dunmall.adm
 Dir	         0 bytes	stacy.white
 Dir	         0 bytes	susanna.nallamilli
 Dir	         0 bytes	swakelin
 Dir	         0 bytes	t.shanmugalingam

wsk059
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	defaultuser0
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	hillary.fahy
 Dir	         0 bytes	k.illingworth
 Dir	         0 bytes	k.illingworth.ADMTW-TR
 Dir	         0 bytes	lauren.shirley
 Dir	         0 bytes	marek.kulik.adm
 Dir	         0 bytes	rscutt.adm
 Dir	         0 bytes	stephan.hildige.adm
 Dir	         0 bytes	stephan.hildige.adm.MTW
 Dir	         0 bytes	wendy.kichenside

wsk417
 Dir	         0 bytes	Administrator
 File	         0 bytes	All Users
 Dir	         0 bytes	Anya.Fairley
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Fandersen
 Dir	         0 bytes	Jenifa.Muscat
 Dir	         0 bytes	Justina.Hissett
 Dir	         0 bytes	K.Crosby-Bennin.adm
 Dir	         0 bytes	Lucy.Gabriel
 Dir	         0 bytes	Lucy.Gabriel_bac
 Dir	         0 bytes	Pauline.Murphy
 Dir	         0 bytes	Public
 Dir	         0 bytes	SVC_ITDash
 Dir	         0 bytes	Shaun.Dunmall.ADM
 Dir	         0 bytes	claire.chalmers
 Dir	         0 bytes	deepika.akolekar
 File	       174 bytes	desktop.ini
 Dir	         0 bytes	k.devereux
 Dir	         0 bytes	marek.kulik.adm

wsk415
 File	         0 bytes	All Users
 Dir	         0 bytes	Default
 File	         0 bytes	Default User
 Dir	         0 bytes	Joseph.Perez
 Dir	         0 bytes	L.amponsah
 Dir	         0 bytes	Maya.Lewis
 Dir	         0 bytes	Myunever.Tasimova
 Dir	         0 bytes	NWilliamson
